feature,media_FN,media_VP,p_value,delta_cliff,p_corretto,effetto_assoluto
hapax_ratio,0.4062113645029988,0.3210790623538711,2.2051764674542963e-26,0.4454334014427385,6.615529402362889e-25,0.4454334014427385
prof_albero_media,2.909552828817767,3.2697724799061243,1.0284608930005738e-21,-0.40125506866819755,1.5426913395008608e-20,0.40125506866819755
lung_frase_media,21.14601861167852,23.485366673044073,7.014951224976997e-17,-0.34981876150532326,5.859791485717291e-16,0.34981876150532326
coordinate_per_frase,0.9109471192630657,1.207923637366889,7.813055314289722e-17,-0.3491503193550904,5.859791485717291e-16,0.3491503193550904
pos_cconj,0.03247076890682377,0.041850145149345354,1.0183907332852039e-14,-0.3242619196730748,6.110344399711224e-14,0.3242619196730748
mattr,0.6454449372242688,0.608260844709756,3.680850511283169e-12,0.2912362384208739,1.577507361978501e-11,0.2912362384208739
pos_adv,0.04560888479080579,0.03314059876327551,1.1873268232507797e-11,0.28422919342016756,4.452475587190424e-11,0.28422919342016756
ratio_hedging,0.010127457830633667,0.016232991596720515,1.6052200356026112e-11,-0.2815659680708169,5.350733452008704e-11,0.2815659680708169
pos_noun,0.19531504535157965,0.2153185382186084,3.678033142428321e-08,-0.23074749545058695,1.0030999479349967e-07,0.23074749545058695
ratio_connettivi,0.0013676784751618441,0.002942609750996564,1.0618766458468128e-09,-0.22475681990228513,3.1856299375404385e-09,0.22475681990228513
subordinate_per_frase,1.6330734269785063,1.8889910620056884,2.7716748728644757e-07,-0.21528476268195015,5.939303298995305e-07,0.21528476268195015
lung_parola_media,4.52062151109688,4.647451239061215,3.630161467344915e-07,-0.2132182853720819,7.26032293468983e-07,0.2132182853720819
ratio_pron_prima_persona,0.008221745439536583,0.002805682239736042,1.987761745820367e-13,0.210563494623996,9.938808729101834e-13,0.210563494623996
lung_frase_std,9.251520452337493,7.3383402495725605,8.286079782585477e-07,0.2065591676735472,1.553639959234777e-06,0.2065591676735472
pos_adj,0.06932823624812481,0.08026305053272154,3.891884286721871e-06,-0.193506622216318,6.868031094215066e-06,0.193506622216318
punt_per_100parole_parentesi,0.6506630462814196,0.17660703714394044,6.730850442531688e-08,0.16940685775255832,1.6827126106329219e-07,0.16940685775255832
tripletta_per_100parole,0.07890681774817344,0.19869937074886765,4.664851514542309e-06,-0.14511309745970896,7.774752524237181e-06,0.14511309745970896
pos_pron,0.08254792128528197,0.0745551417297878,0.008125357846368053,0.11093187583423478,0.012188036769552081,0.11093187583423478
pos_sconj,0.02948646469240494,0.0265006554351949,0.022517075390451387,0.09562096588836383,0.0321672505577877,0.09562096588836383
n_frasi,7.835748792270532,8.169358358795286,0.030319662312700942,-0.0902291470298606,0.04134499406277402,0.0902291470298606
punt_per_100parole_interrogativo,0.2085468459518767,0.03783714251619687,1.076859622050424e-07,0.08694808713786567,2.485060666270209e-07,0.08694808713786567
pos_verb,0.1144407014966743,0.11879926320317524,0.0980986232789436,-0.06932820509576436,0.1226232790986795,0.06932820509576436
punt_per_100parole_virgola,4.557578604478289,4.831160772169251,0.12178401739932289,-0.06485154047448849,0.14614082087918745,0.06485154047448849
pos_adp,0.0906806913197289,0.0935736488289608,0.14629615875480384,-0.060887277880047316,0.16880326010169674,0.060887277880047316
entropia,5.9697779623544935,5.9955508906851485,0.3849543326262984,-0.036414282310321636,0.3982286199582397,0.036414282310321636
punt_per_100parole_esclamativo,0.10336324172296843,0.08279483061207822,0.1977178440050773,0.030257023387040657,0.21968649333897478,0.030257023387040657
punt_per_100parole_duepunti,0.3642254985967445,0.29892545238942847,0.6036750570917422,0.015241324485436606,0.6036750570917422,0.015241324485436606
em_dash_per_100parole,0.005353257262249002,0.00032440174672238633,0.0024438023990149336,0.008797289119153503,0.003858635366865685,0.008797289119153503
en_dash_per_100parole,0.010095962119950126,0.0013595935507590942,0.05082476840745612,0.0074962518740629685,0.0662931761836384,0.0074962518740629685
punt_per_100parole_puntovirgola,0.004536073121498719,0.0010199415923665123,0.34135348928417697,0.0030891727132214483,0.3657358813759039,0.0030891727132214483
