feature,peso,direzione,peso_assoluto
hapax_ratio,-2.0612895989764337,umano,2.0612895989764337
n_frasi,-1.1075086894959867,umano,1.1075086894959867
punt_per_100parole_parentesi,-1.012224769924443,umano,1.012224769924443
lung_frase_std,-0.9598715356313839,umano,0.9598715356313839
punt_per_100parole_puntovirgola,-0.8707887643765811,umano,0.8707887643765811
pos_adv,-0.7645304116074917,umano,0.7645304116074917
mattr,-0.5231400075690875,umano,0.5231400075690875
coordinate_per_frase,-0.4658432647480951,umano,0.4658432647480951
ratio_pron_prima_persona,-0.32630317234271233,umano,0.32630317234271233
em_dash_per_100parole,-0.28309021169259196,umano,0.28309021169259196
pos_pron,-0.23552484273779797,umano,0.23552484273779797
lung_frase_media,-0.21819440170010918,umano,0.21819440170010918
en_dash_per_100parole,-0.19407686394509385,umano,0.19407686394509385
pos_noun,-0.13567554784767238,umano,0.13567554784767238
pos_adp,-0.06952635819653041,umano,0.06952635819653041
entropia,0.08579493718074103,macchina,0.08579493718074103
punt_per_100parole_interrogativo,0.09708219499732441,macchina,0.09708219499732441
punt_per_100parole_duepunti,0.10731211683195972,macchina,0.10731211683195972
pos_sconj,0.12445255510630876,macchina,0.12445255510630876
punt_per_100parole_virgola,0.13170457071109626,macchina,0.13170457071109626
tripletta_per_100parole,0.20373232376958178,macchina,0.20373232376958178
lung_parola_media,0.26242599746293216,macchina,0.26242599746293216
pos_verb,0.2811991011459107,macchina,0.2811991011459107
pos_adj,0.32082534970476834,macchina,0.32082534970476834
ratio_connettivi,0.4558708570927862,macchina,0.4558708570927862
punt_per_100parole_esclamativo,0.458565991142091,macchina,0.458565991142091
subordinate_per_frase,0.5345973563095873,macchina,0.5345973563095873
ratio_hedging,0.5731820798102211,macchina,0.5731820798102211
prof_albero_media,0.822002718214138,macchina,0.822002718214138
pos_cconj,1.1051134807520007,macchina,1.1051134807520007
