parola,doc_freq_umano,doc_freq_macchina,delta
i,0.3766766766766767,0.08118118118118119,-0.29549549549549553
but,0.5323323323323323,0.2818818818818819,-0.25045045045045045
so,0.47607607607607605,0.2781781781781782,-0.19789789789789786
you,0.6568568568568569,0.46476476476476475,-0.19209209209209216
just,0.2861861861861862,0.11551551551551552,-0.17067067067067065
would,0.2845845845845846,0.12082082082082082,-0.16376376376376375
what,0.28338338338338337,0.12652652652652652,-0.15685685685685685
all,0.34404404404404404,0.1877877877877878,-0.15625625625625625
then,0.2514514514514514,0.0971971971971972,-0.1542542542542542
at,0.4028028028028028,0.2548548548548549,-0.1479479479479479
don't,0.2157157157157157,0.06916916916916917,-0.14654654654654653
get,0.2798798798798799,0.13503503503503503,-0.14484484484484486
only,0.22392392392392393,0.08018018018018018,-0.14374374374374377
no,0.23033033033033032,0.08838838838838839,-0.14194194194194193
most,0.2147147147147147,0.08548548548548549,-0.12922922922922922
out,0.2690690690690691,0.14134134134134135,-0.12772772772772772
my,0.13403403403403402,0.007207207207207207,-0.1268268268268268
now,0.15385385385385386,0.02762762762762763,-0.12622622622622623
was,0.24474474474474475,0.12162162162162163,-0.12312312312312312
really,0.13973973973973974,0.024924924924924926,-0.11481481481481481
much,0.21041041041041042,0.1006006006006006,-0.10980980980980982
will,0.34404404404404404,0.24104104104104104,-0.103003003003003
url,0.1037037037037037,0.0022022022022022024,-0.1015015015015015
etc,0.1034034034034034,0.0026026026026026027,-0.1008008008008008
since,0.11951951951951952,0.019119119119119118,-0.1004004004004004
do,0.3003003003003003,0.2059059059059059,-0.0943943943943944
an,0.4181181181181181,0.32842842842842845,-0.08968968968968966
up,0.28218218218218216,0.1927927927927928,-0.08938938938938937
that's,0.11681681681681681,0.02812812812812813,-0.08868868868868868
your,0.42172172172172173,0.33563563563563564,-0.08608608608608609
we,0.17487487487487488,0.0890890890890891,-0.08578578578578579
think,0.13853853853853854,0.05535535535535536,-0.08318318318318318
you're,0.12302302302302302,0.04054054054054054,-0.08248248248248248
going,0.1088088088088088,0.026526526526526525,-0.08228228228228228
there's,0.08488488488488488,0.0032032032032032033,-0.08168168168168168
like,0.34114114114114114,0.26016016016016014,-0.080980980980981
basically,0.08028028028028028,0.0012012012012012011,-0.07907907907907907
doesn't,0.11501501501501502,0.03663663663663664,-0.07837837837837838
probably,0.08378378378378379,0.005705705705705706,-0.07807807807807808
isn't,0.08408408408408409,0.006206206206206206,-0.07787787787787788
thing,0.0957957957957958,0.02052052052052052,-0.07527527527527528
say,0.11621621621621622,0.04254254254254254,-0.07367367367367368
those,0.13693693693693693,0.06356356356356356,-0.07337337337337337
from,0.42952952952952955,0.35685685685685686,-0.07267267267267269
something,0.13843843843843845,0.06626626626626626,-0.07217217217217219
actually,0.11361361361361362,0.04174174174174174,-0.07187187187187188
go,0.13613613613613615,0.06506506506506507,-0.07107107107107108
first,0.13853853853853854,0.06806806806806807,-0.07047047047047046
can't,0.09089089089089089,0.025525525525525526,-0.06536536536536536
where,0.17207207207207206,0.1069069069069069,-0.06516516516516516
every,0.09239239239239239,0.02772772772772773,-0.06466466466466465
',0.06446446446446447,0.0002002002002002002,-0.06426426426426426
if,0.5245245245245245,0.46136136136136136,-0.06316316316316312
were,0.14624624624624624,0.08488488488488488,-0.06136136136136136
pretty,0.06306306306306306,0.0017017017017017016,-0.061361361361361354
point,0.0867867867867868,0.025625625625625627,-0.061161161161161166
into,0.21061061061061062,0.15115115115115116,-0.05945945945945946
had,0.11241241241241241,0.054654654654654654,-0.05775775775775776
he,0.08358358358358359,0.026726726726726727,-0.05685685685685686
edit,0.057157157157157155,0.0006006006006006006,-0.05655655655655655
know,0.14714714714714713,0.09099099099099099,-0.05615615615615614
answer,0.07487487487487487,0.01901901901901902,-0.055855855855855854
same,0.17917917917917917,0.12342342342342343,-0.05575575575575574
even,0.18888888888888888,0.13333333333333333,-0.05555555555555555
than,0.2665665665665666,0.2111111111111111,-0.055455455455455466
back,0.12242242242242242,0.06706706706706707,-0.05535535535535535
years,0.0997997997997998,0.04504504504504504,-0.05475475475475476
i'm,0.07277277277277278,0.018018018018018018,-0.05475475475475476
two,0.13543543543543543,0.08078078078078078,-0.05465465465465465
very,0.1984984984984985,0.14384384384384385,-0.05465465465465463
little,0.08058058058058058,0.026626626626626626,-0.053953953953953956
see,0.14334334334334334,0.09069069069069069,-0.05265265265265265
e,0.06436436436436437,0.012512512512512513,-0.05185185185185185
after,0.11461461461461461,0.06286286286286286,-0.05175175175175176
they're,0.05785785785785786,0.006206206206206206,-0.051651651651651656
either,0.07347347347347348,0.02192192192192192,-0.051551551551551555
one,0.3113113113113113,0.2598598598598599,-0.05145145145145141
anything,0.06616616616616616,0.016816816816816817,-0.04934934934934934
us,0.10520520520520521,0.056056056056056056,-0.049149149149149154
though,0.08138138138138139,0.03223223223223223,-0.049149149149149154
got,0.05005005005005005,0.002302302302302302,-0.04774774774774775
big,0.07177177177177177,0.024624624624624624,-0.04714714714714714
question,0.07287287287287288,0.025825825825825825,-0.047047047047047055
well,0.15165165165165165,0.10480480480480481,-0.04684684684684684
year,0.07697697697697697,0.03163163163163163,-0.045345345345345345
put,0.07477477477477477,0.02982982982982983,-0.04494494494494494
did,0.06286286286286286,0.017917917917917917,-0.04494494494494494
off,0.1085085085085085,0.06376376376376376,-0.04474474474474474
bit,0.06386386386386386,0.01931931931931932,-0.04454454454454454
gets,0.06446446446446447,0.020920920920920922,-0.04354354354354355
his,0.06716716716716717,0.023923923923923923,-0.043243243243243246
take,0.15085085085085084,0.10760760760760761,-0.04324324324324323
said,0.052652652652652655,0.00990990990990991,-0.04274274274274274
aren't,0.04734734734734735,0.004604604604604604,-0.04274274274274274
enough,0.1008008008008008,0.05805805805805806,-0.042742742742742736
far,0.05435435435435435,0.011811811811811812,-0.04254254254254254
stuff,0.04374374374374374,0.0013013013013013013,-0.04244244244244244
never,0.05535535535535536,0.013213213213213212,-0.042142142142142146
down,0.12222222222222222,0.08008008008008008,-0.04214214214214214
has,0.2996996996996997,0.25765765765765763,-0.04204204204204204
too,0.0938938938938939,0.05205205205205205,-0.041841841841841844
day,0.06686686686686687,0.025425425425425426,-0.04144144144144144
didn't,0.04724724724724725,0.006706706706706707,-0.04054054054054054
least,0.052752752752752756,0.012612612612612612,-0.04014014014014014
look,0.08548548548548549,0.045445445445445445,-0.04004004004004004
almost,0.043343343343343346,0.0038038038038038036,-0.039539539539539544
doing,0.06326326326326326,0.024024024024024024,-0.039239239239239235
thus,0.039439439439439436,0.0002002002002002002,-0.039239239239239235
nothing,0.04604604604604605,0.007407407407407408,-0.038638638638638645
won't,0.044444444444444446,0.005805805805805806,-0.03863863863863864
end,0.06926926926926927,0.030930930930930932,-0.038338338338338336
less,0.11711711711711711,0.07897897897897897,-0.03813813813813814
case,0.08748748748748748,0.04934934934934935,-0.038138138138138135
bad,0.05285285285285285,0.015415415415415416,-0.03743743743743744
lot,0.13463463463463463,0.09779779779779779,-0.036836836836836834
s,0.07317317317317318,0.03643643643643644,-0.03673673673673674
here,0.08758758758758758,0.05105105105105105,-0.03653653653653653
you'll,0.04484484484484484,0.00910910910910911,-0.035735735735735734
dr,0.036136136136136136,0.0005005005005005005,-0.03563563563563563
money,0.13853853853853854,0.10290290290290291,-0.035635635635635626
last,0.04704704704704705,0.011811811811811812,-0.03523523523523524
quite,0.04114114114114114,0.006206206206206206,-0.034934934934934936
again,0.05525525525525526,0.02042042042042042,-0.034834834834834835
everything,0.05015015015015015,0.015615615615615615,-0.03453453453453453
whatever,0.03663663663663664,0.002702702702702703,-0.03393393393393394
once,0.07277277277277278,0.03883883883883884,-0.03393393393393394
above,0.046346346346346344,0.012412412412412413,-0.03393393393393393
want,0.13623623623623624,0.1023023023023023,-0.03393393393393393
sort,0.03453453453453453,0.0022022022022022024,-0.032332332332332334
with,0.547947947947948,0.5157157157157157,-0.03223223223223226
maybe,0.032632632632632635,0.0006006006006006006,-0.03203203203203203
i've,0.03153153153153153,0.0,-0.03153153153153153
give,0.07907907907907907,0.047847847847847846,-0.031231231231231227
you'd,0.032332332332332334,0.0014014014014014013,-0.030930930930930932
until,0.06266266266266267,0.03193193193193193,-0.030730730730730738
mostly,0.035935935935935935,0.005305305305305305,-0.03063063063063063
already,0.04794794794794795,0.017317317317317317,-0.03063063063063063
fact,0.053553553553553554,0.023023023023023025,-0.03053053053053053
could,0.15665665665665665,0.12632632632632632,-0.030330330330330335
next,0.04864864864864865,0.018518518518518517,-0.030130130130130134
times,0.055755755755755754,0.025725725725725727,-0.030030030030030026
should,0.11921921921921921,0.09019019019019019,-0.029029029029029027
done,0.06046046046046046,0.03203203203203203,-0.02842842842842843
am,0.037237237237237236,0.009009009009009009,-0.02822822822822823
problem,0.05965965965965966,0.03153153153153153,-0.02812812812812813
old,0.045445445445445445,0.017417417417417418,-0.028028028028028028
whole,0.04374374374374374,0.016116116116116116,-0.027627627627627625
simply,0.05315315315315315,0.025825825825825825,-0.027327327327327327
better,0.0943943943943944,0.06726726726726727,-0.02712712712712713
ever,0.03293293293293293,0.005805805805805806,-0.027127127127127126
course,0.04614614614614614,0.01901901901901902,-0.027127127127127122
tell,0.043043043043043044,0.016016016016016016,-0.02702702702702703
having,0.07497497497497498,0.04824824824824825,-0.026726726726726727
exactly,0.04134134134134134,0.014714714714714715,-0.026626626626626626
unless,0.032332332332332334,0.005805805805805806,-0.02652652652652653
comes,0.05425425425425425,0.02812812812812813,-0.026126126126126123
although,0.034734734734734735,0.00880880880880881,-0.025925925925925925
happens,0.046746746746746747,0.020920920920920922,-0.025825825825825825
x,0.036836836836836834,0.011111111111111112,-0.02572572572572572
per,0.04564564564564565,0.02012012012012012,-0.025525525525525526
essentially,0.03193193193193193,0.0065065065065065065,-0.025425425425425426
g,0.03193193193193193,0.006606606606606606,-0.025325325325325325
right,0.08708708708708708,0.06176176176176176,-0.025325325325325318
under,0.05225225225225225,0.02702702702702703,-0.025225225225225224
makes,0.07957957957957958,0.054854854854854855,-0.02472472472472472
goes,0.05305305305305305,0.02832832832832833,-0.02472472472472472
come,0.06256256256256257,0.03793793793793794,-0.024624624624624628
huge,0.028628628628628628,0.004004004004004004,-0.024624624624624624
days,0.03743743743743744,0.012912912912912912,-0.024524524524524527
me,0.07947947947947948,0.055055055055055056,-0.02442442442442442
lots,0.032532532532532535,0.008308308308308308,-0.024224224224224225
says,0.03023023023023023,0.006306306306306306,-0.023923923923923923
start,0.07237237237237237,0.04864864864864865,-0.023723723723723722
actual,0.032432432432432434,0.00880880880880881,-0.023623623623623625
him,0.03293293293293293,0.009309309309309309,-0.02362362362362362
seems,0.028528528528528527,0.004904904904904905,-0.02362362362362362
call,0.034634634634634634,0.011111111111111112,-0.02352352352352352
our,0.07777777777777778,0.05445445445445445,-0.023323323323323326
mean,0.04724724724724725,0.023923923923923923,-0.023323323323323326
great,0.042042042042042045,0.01891891891891892,-0.023123123123123125
non,0.043243243243243246,0.02012012012012012,-0.023123123123123125
read,0.04004004004004004,0.016916916916916918,-0.02312312312312312
you've,0.02772772772772773,0.004704704704704705,-0.023023023023023025
else,0.05035035035035035,0.027527527527527528,-0.02282282282282282
along,0.032432432432432434,0.00970970970970971,-0.022722722722722723
part,0.0937937937937938,0.07117117117117117,-0.02262262262262263
later,0.03733733733733734,0.014714714714714715,-0.022622622622622622
given,0.051351351351351354,0.02892892892892893,-0.022422422422422424
wouldn't,0.026226226226226227,0.0038038038038038036,-0.022422422422422424
away,0.06026026026026026,0.03783783783783784,-0.02242242242242242
i'll,0.024724724724724725,0.0024024024024024023,-0.022322322322322324
kind,0.04824824824824825,0.026126126126126126,-0.022122122122122122
average,0.02992992992992993,0.007807807807807808,-0.022122122122122122
yes,0.04004004004004004,0.018018018018018018,-0.022022022022022022
still,0.12262262262262262,0.1007007007007007,-0.021921921921921925
usually,0.0994994994994995,0.07767767767767768,-0.021821821821821824
further,0.045245245245245244,0.023823823823823823,-0.02142142142142142
couple,0.023323323323323323,0.0019019019019019018,-0.02142142142142142
buy,0.07007007007007007,0.04864864864864865,-0.02142142142142142
ask,0.04474474474474475,0.023523523523523524,-0.021221221221221224
instance,0.02142142142142142,0.0004004004004004004,-0.021021021021021023
deal,0.03293293293293293,0.012012012012012012,-0.02092092092092092
due,0.06576576576576576,0.04484484484484484,-0.02092092092092092
went,0.025825825825825825,0.005005005005005005,-0.020820820820820818
things,0.15415415415415415,0.13343343343343345,-0.020720720720720703
query,0.02132132132132132,0.0008008008008008008,-0.02052052052052052
tl,0.02022022022022022,0.0,-0.02022022022022022
entire,0.029129129129129128,0.00910910910910911,-0.02002002002002002
obviously,0.02012012012012012,0.0002002002002002002,-0.01991991991991992
months,0.027327327327327327,0.0075075075075075074,-0.01981981981981982
k,0.02942942942942943,0.00960960960960961,-0.01981981981981982
second,0.04824824824824825,0.02872872872872873,-0.01951951951951952
matter,0.039439439439439436,0.01991991991991992,-0.019519519519519517
assuming,0.02002002002002002,0.0006006006006006006,-0.01941941941941942
line,0.03533533533533534,0.016016016016016016,-0.019319319319319322
state,0.05215215215215215,0.03303303303303303,-0.01911911911911912
theory,0.03283283283283283,0.013713713713713714,-0.019119119119119114
simple,0.04244244244244244,0.023423423423423424,-0.019019019019019017
started,0.03063063063063063,0.011711711711711712,-0.01891891891891892
therefore,0.031031031031031032,0.012112112112112113,-0.01891891891891892
ago,0.025725725725725727,0.006906906906906907,-0.01881881881881882
business,0.06796796796796797,0.04924924924924925,-0.018718718718718726
house,0.03783783783783784,0.019119119119119118,-0.018718718718718722
left,0.03753753753753754,0.01881881881881882,-0.01871871871871872
let's,0.03413413413413413,0.015415415415415416,-0.018718718718718715
not,0.5276276276276276,0.5089089089089089,-0.018718718718718663
how,0.21641641641641643,0.19789789789789788,-0.018518518518518545
getting,0.055755755755755754,0.03733733733733734,-0.018418418418418417
hit,0.026426426426426425,0.008108108108108109,-0.018318318318318316
does,0.11741741741741742,0.0991991991991992,-0.018218218218218216
wrong,0.03003003003003003,0.011911911911911911,-0.01811811811811812
effect,0.037037037037037035,0.01891891891891892,-0.018118118118118115
otherwise,0.02142142142142142,0.0034034034034034033,-0.018018018018018018
except,0.02032032032032032,0.0024024024024024023,-0.01791791791791792
